user_id,gender_cd,age,foreigner_yn,os_type
69181d1a544e5ed,2,26,N,A
290d51a4f6a270c,2,34,N,A
35c97ba763b83cd,2,45,N,A
eaf27e7bb6fc32a,1,26,N,A
f9863b1f4cad5f7,2,25,N,A
2edad5890489676,1,21,N,B
e4aac60947116e2,2,25,N,A
f64fc48035d783a,2,21,N,B
f4c6c995bd74c54,2,29,N,A
e3b06ddfb897e2b,1,27,N,B
49618bedbe3b12f,1,35,N,B
5f2a1fde00285c7,1,35,N,A
ae11968f7b50bf8,2,27,N,A
953742e529cc714,2,26,N,A
2d674ac26f61a24,1,23,N,A
37f07916ef38304,1,23,N,B
982f6b7133af1e3,2,34,N,A
588279660faf532,2,41,N,B
ca280b6465e994c,2,26,N,B
af37c39f35f04cd,2,28,N,A
fd0dbc62c1c2ec6,2,24,N,B
18db839e961e5c4,2,20,N,A
2934e88e79f482b,1,42,N,A
4b7f4438d3abe29,1,29,N,A
d92089ec9986199,2,48,N,A
ad0929a403a90f0,1,30,N,A
19c51a7dd3b4d47,1,21,N,B
49293119a94f0a7,1,28,N,B
4555af6ac2faa58,1,26,N,B
60e5bf27e3f7888,2,43,N,B
2f8c6087e3157df,1,27,N,B
4702a9462dcc047,2,33,N,A
a2203fcf214f1b4,1,25,N,B
f949381f257cd95,2,35,N,A
380c7e133acf4a8,2,26,N,A
78f045c18bfe938,2,33,N,B
e5593158b4d6c10,1,48,N,A
6a6e654d35f4b11,2,20,N,A
a33fdea8e953745,1,22,N,B
a622c5cac0e8eea,2,28,N,B
3319de91e35e3a1,1,23,N,A
2b07b129ac664f0,1,22,N,B
98e6bd1d8f404fe,2,21,N,A
6ef90dd9f490fc6,1,41,N,A
48ab07aef556247,1,24,N,B
39210a3c6fd6242,2,32,N,A
9ca9f894e3ae58a,1,27,N,A
3080fd76f518fde,2,26,N,B
04bd4cc52002dd7,1,48,N,A
5ce3459b0366e66,2,42,N,A
32d44c06f492883,1,27,N,A
4a9114ce088a4e2,2,20,N,A
9158ba9b61fe77e,2,38,N,A
fc59e488d9039c7,2,25,N,A
1fa29261b418d28,2,43,N,A
7ef41c5775ae4f5,2,26,N,B
bab96805f52f59d,1,25,N,B
87158bfd6684606,2,25,N,A
d94837caf97436f,2,37,N,B
f944d86260b2c41,1,40,N,A
16cadf484586cac,1,30,N,A
bc78b186835b064,1,22,N,B
f87ef966f3b898a,1,47,N,A
adcabaed364b2ee,2,29,N,A
d2362b35bd469a4,1,24,N,B
280e8a805c02e18,1,35,N,B
049b77d36499ca9,1,23,N,A
ed85905980548da,2,20,N,A
e055d3995252700,1,17,N,A
62e322cfe30db55,1,29,N,A
58081db3465f608,1,23,N,A
caf40f8b9f3f716,2,29,N,A
94c36796667b1b4,2,22,N,B
abb499df9923be9,1,33,N,A
2e5afe3526307a8,2,28,N,A
5cf2d60af115589,1,21,N,B
c3f574dcc7377cb,1,30,N,B
8085ff133e4cdf3,1,22,N,A
f4f0af65847aaa4,2,23,N,A
f7b23dc11426013,2,21,N,A
2478370d5400e77,1,16,N,B
e1b30d005f1aa66,2,30,N,B
33a3b0fc6068dc8,1,35,N,A
c9361efd657f18e,2,27,N,A
d11942d0c8c8eae,1,24,N,B
dbfb3690fe1a923,2,23,N,A
65a23ff57b55f67,2,37,N,B
f8247d973ff20b0,2,27,N,A
ef014e53100a511,2,27,N,A
4fdb190e0fc8673,2,22,N,B
af21295eb74aae1,1,25,N,B
e0890c509fd244a,2,36,N,A
cebd4cb6724f520,1,20,N,B
38e61c489dc93ee,1,21,N,A
67aa09616a6aeda,2,31,N,A
45ed6901cea09cb,2,28,N,A
6338e500579343a,1,34,N,A
6e29d33a54d01e3,2,30,N,B
77c07cec4fe8f86,2,29,N,A
d904d95ca1f420a,1,35,N,B
e4ebf9c407053e2,1,27,N,B
9a07f18abf1d584,2,29,N,A
a9015df43386a62,2,29,N,A
c47279bee6fad56,2,25,N,A
cff2d8de837d000,2,33,N,A
58687a41a019075,1,35,N,A
d60d3f27823de62,1,30,N,A
3e7674045f98a65,2,21,N,A
78292af9333b308,2,21,N,A
84144fec897d31a,2,45,N,B
2dc67a198881717,1,23,N,B
560ecaaaab6fba1,2,36,N,B
2efa7dab98800b7,1,33,N,A
bdbde416ac00bef,2,24,N,A
4f006cb74288adf,2,27,N,A
80cfed368531070,1,34,N,B
5f00fadf3aba768,1,32,N,A
860e0a4a03cab29,2,24,N,A
018dd58343e4231,2,45,N,B
f79ad8096de1a42,2,29,N,A
310ffd93f6e90c2,1,28,N,B
9b8c06610f7a690,1,24,N,A
ba041c7a224242d,2,23,N,B
fda7e1667e17aca,2,20,N,B
481ee724402d926,2,27,N,B
b1fe80fc31b437b,2,27,N,A
b347b42258613d1,1,28,N,B
9d72e291d9a966a,2,45,N,A
27f87caa3fff57b,2,37,N,A
78db6f6ddb6fb6b,1,32,N,B
dabf13718e8fb67,2,31,N,B
a65b91df9f9f6bd,1,24,N,B
b8abcab3d1dcfa8,1,36,N,A
d36f461671221d3,2,17,N,A
1c179d8460a96ad,2,24,N,A
9d6c6b9efa4e842,2,24,N,A
66b94166f25473b,2,27,N,A
52d95bf26f2faa7,2,34,N,A
8afc4cebaebe220,1,34,N,A
7ead0cba669c15a,1,32,N,A
9de507500f52dda,2,26,N,B
535befc8d5ff758,1,31,N,A
2de17f369dfc038,1,27,N,B
c2bb69592a37426,2,30,N,A
4ef16734f48319f,2,28,N,A
7773b3a97823d00,1,23,N,A
d408b4697c21c55,1,22,N,B
8246f070b0d640d,1,33,N,A
0fa8b5b55cfde40,1,34,N,A
9b7bcd2f68df5c7,1,20,N,B
95896f48869b8b0,1,33,N,B
1b66376da508e67,1,43,N,A
11156a76729fb16,2,27,N,A
7f57063d2301ce0,1,28,N,A
13f875e8a93bb94,1,35,N,A
c47158cbdff54af,1,39,N,A
b3053f7be5fac77,1,27,N,A
8c3bfbadaf53300,2,36,N,A
314baba2a4ca078,1,21,N,B
f47432b4345cdf0,2,34,N,B
91d9fb5b44edc8a,1,35,N,B
0225fca3e6a5dab,1,17,N,B
6b6cce5fe816f53,1,33,N,B
7307ef36865a665,1,24,N,B
83d83804dd82727,1,30,N,A
d9aaea1eafde572,1,28,N,B
8aeda3c73645b5a,2,38,N,A
6b33415703b1015,2,27,N,B
b0d506282600810,2,30,N,A
952e1cba9cca80e,2,29,N,A
36340e14cc1132e,1,25,N,A
7be43c93a1bed9d,1,35,N,B
4fe702584d9cceb,2,29,N,A
e2b212d965e47e8,1,23,N,B
581fc0eb3186b0a,2,29,N,A
f0b80540f38f938,2,26,N,A
a5ef0eb77ec25be,1,48,N,A
90d8546df5c0758,2,34,N,A
49ffde77c078067,2,27,N,B
ff30a5b907809cf,1,38,N,A
dd660ebf2e58bc9,1,38,N,A
c6ce39e2f3d2925,2,26,N,A
a2345da471e96c5,2,25,N,A
788eaf3493e1ca6,2,24,N,A
178f33c9a71e6d4,1,34,N,B
60ff6dc8f2987f3,1,32,N,A
06e80a2f9f6390b,2,29,N,A
f546b7e1ea94b92,2,24,N,B
82a6e661145ff8a,2,33,N,A
5651ff72eda2dbf,1,25,N,A
bf398d7cf7320c7,1,25,N,A
930b210843e9f4a,1,28,N,A
486a41a4e7d7b3b,2,25,N,A
6c7f2c51db2f0df,2,27,N,A
1c20bb3475b23e3,1,26,N,A
3e6e9158a2ca461,1,27,N,A
b87deb4fefe9c52,1,20,N,B
85b7742f0b19470,1,22,N,A
be6193792cc780a,2,25,N,A
48cde68f1a7e930,2,32,N,B
0d639d7efac42b9,1,34,N,B
05456c4b56279b4,2,26,N,A
9be1778e52a78c5,2,25,N,A
27a2aec5f0cf7f2,2,24,N,A
5fca9321004ac10,1,46,N,A
ff0b7768d0f977d,2,19,N,A
edc64ce05779d1a,2,36,N,B
45d1a5fe431bc2a,2,25,N,B
b407fc1198df40c,1,30,N,B
da7cbf7dde0192e,2,25,N,A
846b2ead76146bd,2,50,N,A
7c6ba0f2c1cc3a8,2,21,N,A
d3e76d31399885c,1,21,N,A
e766dc090a04130,2,42,N,B
e2c97063874ba53,2,24,N,A
7712cd072669b8a,1,23,N,A
35f78f3587e24f7,1,37,N,A
4a526db7452493c,2,27,N,A
9c4924c65f8d412,2,39,N,B
98d1660e5c7f03e,1,25,N,B
f5c6f4bcc0770e4,2,35,N,A
0806b18a90398f6,1,30,N,B
fe45cf393a65b7b,1,29,N,A
2fb0ec367bcda0d,2,30,N,A
0d6f67a558c1670,2,48,N,B
a4507dcd6a07210,1,27,N,B
c549c894e8adc1d,1,43,N,A
73fda6de5beef96,1,20,N,A
a3bf186e30ac32a,1,21,N,B
069e007476d8200,1,23,N,B
d3461ebd022e226,1,22,N,B
0c5eb4bc3453f58,1,39,N,A
907d15ac7a4a450,2,29,N,B
2c2b0cc01828792,1,37,N,A
0518da6dfb2be3f,2,43,N,B
1651e75a834d9c2,2,30,N,A
f0f109664287957,1,30,N,B
8481ca6d329a0ac,1,41,N,A
e2a8c3148d0506c,1,40,N,A
4a5e96924669785,2,28,N,A
ab695255b2c2448,2,24,N,A
ab4c07004382726,1,38,N,A
bd6c14705a46069,2,33,N,A
755aff2605c1082,2,22,N,B
effb3ed8acc708b,2,31,N,A
00cc62c0248469d,1,21,N,A
c6c8c10473980d5,1,31,N,B
8b38dab94ca8257,2,32,N,B
2efc4fa0094c164,1,32,N,A
cdb133d56048a26,1,36,N,A
c2492f8f01d4cc6,2,35,N,A
a428f18cce8e0a6,1,29,N,A
fdf8072b0a0206f,1,41,N,A
9b51b3a054d5847,1,33,N,B
77cb6f0f1894446,1,21,N,A
35fa2a20be53c17,1,20,N,B
64126c2e234d3b1,2,30,N,B
2b2be625e50d8cd,1,27,N,A
8af18248bfc5920,2,29,N,A
ad223dada9f6ae8,1,37,N,A
1b43536d3587d7f,1,32,N,A
090627c61ca7c44,1,25,N,A
2a3294eeb5282d3,2,31,N,B
7bdbbfd048e8989,2,24,N,A
0bb32dbdc8b452e,1,25,N,B
7443f16f6aa7aa1,1,37,N,A
3a02e38637c772f,2,43,N,A
f25c48a33c84714,1,22,N,A
a44f24cbe26f35d,2,28,N,A
34e277fd796b23d,1,22,N,B
33d1a0f13995c51,2,43,N,A
20a9d2c75cf50ba,1,22,N,B
b1dd49b3e47f835,2,26,N,A
3e74f95c3223ded,1,46,N,A
a31194041df7bb8,1,18,N,A
e2e8dcbf2114566,1,21,N,B
92ee1a2e2080996,1,29,N,B
0b5a9dff75e79b0,1,36,N,A
78a16b4cb4b8e97,2,27,N,A
b22d0efd4789a85,2,27,N,A
9773644c6cf553e,2,34,N,A
20a2234abc09b1e,2,26,N,A
d103b0425203f23,1,24,N,A
4369189e86c3385,1,34,N,A
4692dbecd77dfbf,2,28,N,A
e70bf491465d88c,1,34,N,B
3adbaf3d9d40007,1,27,N,B
ab03baff5451785,1,34,N,A
2f8a7a108d609c6,2,26,N,B
af0e74f44ff0cd7,1,32,N,B
2b4170f37a5af70,1,20,N,A
2a1fc39bcbeb9bf,1,29,N,A
ffa1037972f31fa,1,44,N,B
dbc174480d3d582,2,23,N,B
c8d1d13015e585c,2,26,N,A
55dfbc80bbaf187,1,21,N,B
46eaf7d743c6e75,1,23,N,B
13f0a050d6010d4,1,26,N,A
c51b9568c365d94,2,36,N,A
3f59736cab1319c,2,40,N,A
fd34b0b79bb2e7c,2,35,N,B
537448ec02076a6,1,25,N,A
ad0f05c5f9abd5e,1,30,N,A
12c4f057f5be14e,2,24,N,B
7a2d488be861fa1,2,20,N,B
f417dcae3156461,1,20,N,A
c358408bd61ce01,1,22,N,B
fe0835581b4c9d8,1,30,N,A
b3b05d7232fc199,2,36,N,A
b1720bdd39607e9,1,22,N,A
c29465767ce3bde,2,26,N,A
16ffb0edc7e566b,2,28,N,A
e77e5da25b39189,1,20,N,A
23e0594dbe19f67,1,30,N,A
6fb1899305934e9,1,44,N,A
7511ab5bdc263cd,1,30,N,A
7d7cd0be761533b,1,36,N,B
fa584fea2475b0f,1,40,N,B
ff9173b171bf7d6,1,29,N,B
d4d48958f653e20,1,31,N,A
5e892a99dca4f24,1,26,N,B
57697aa056fd5dc,1,24,N,A
4015cdae9bd89a7,1,38,N,A
402abb1db17af2d,1,39,N,A
812294f6d6d7283,1,22,N,B
7e19c33112ac950,1,25,N,B
4c1a8a881451508,1,22,N,B
262845711368cdc,2,25,N,A
d9ce8a892746fd0,1,29,N,B
592c3b2360b605f,2,25,N,A
15839f3e94207cb,2,28,N,A
3ae39a8f313a459,2,27,N,B
6dbd9254d5068c4,2,35,N,B
b1508b933cd8054,1,41,N,B
bd64ffee33a29ea,2,27,N,B
49df2ac211d9487,2,30,N,A
08f2d5773814d12,2,24,N,A
c991bd8df77ef0d,2,38,N,A
858a695c0562d70,1,21,N,B
408604e37aa468b,1,27,N,B
474d6f7f92feefe,2,25,N,A
728399dd72a7977,1,19,N,B
9dc0227ae76526f,2,29,N,B
a86553e17dc2886,2,26,N,B
6021bfec314b343,2,39,N,A
1439fc5e7ca0e4e,1,22,N,B
48ad23cbd109d95,1,21,N,B
e98bbace3e84476,1,18,N,A
c2c6cdf3e81661b,2,47,N,B
202d128062775aa,1,34,N,B
6d85f75ea008d34,1,41,N,A
6196827af24268f,1,25,N,B
33a0548b3cf4466,1,15,N,B
c937d8b4e90fa2d,2,24,N,A
f3da5187d1744e9,2,29,N,A
88958354b738dc3,1,28,N,B
d62d2f1166844b6,2,39,N,A
2393ffeff3a73cc,2,20,N,A
2e00e6e051f6e69,2,28,N,A
4c7b8091940bebf,2,33,N,B
74b8751f617b13d,2,31,N,B
5c5c76afd903e37,2,35,N,A
93caf5e01358868,1,36,N,A
81c0e017bf5a442,1,34,N,A
14747204d201fed,2,29,N,A
1106a5fcfb69a3e,1,40,N,A
db4af6854b1e977,2,41,N,A
2eed89ded1f753c,2,26,N,A
3a49db0d1656b33,2,29,N,A
54fd207b971e3a5,1,33,N,A
fd508dd26cf88b1,1,37,N,A
ba2fb1b87ed00f8,2,21,N,A
b7abc3c837e140f,1,37,N,B
839f35c73b203b2,1,43,N,A
3b01c7a69ea8d42,2,25,N,A
d4dd0879fb21614,1,21,N,B
54e28c8f2397fa7,1,39,N,A
11d2ccf0644bc55,2,25,N,B
c5884b82547eac6,1,23,N,B
e79f0a4cf7ff417,2,21,N,A
8d0722f83edddc9,2,27,N,A
7eef1c2ab4a3dd2,2,25,N,A
349e32e2537df51,2,24,N,A
e0a811c7595c32d,1,22,N,B
d3e3183e3431474,1,34,N,A
2c0fa5e486d0dfe,1,25,N,A
4f1ee18a4bce3e7,2,31,N,A
57b8c49915d5c27,2,38,N,A
6a63f56dcb56cdd,2,30,N,A
112cf1c722d627f,1,38,N,A
f93d115a2fab035,2,30,N,A
bca43e66876546d,1,21,N,A
c2ee5842e4340a9,2,25,N,A
2a92aaec74790a3,2,23,N,A
bd87b93aaa20799,1,34,N,A
4ec324f78ea1010,2,26,N,B
6375689351ed6d6,2,26,N,B
bf3dbb6c43f7d48,1,22,N,A
466819669634a95,1,19,N,A
bf43bfd33993886,1,19,N,A
18d45ba4cf7c5a1,1,29,N,B
b598a8a99e5f2db,2,30,N,A
07d193cc3365e29,1,23,N,B
5f0593e8873c018,1,20,N,A
86b83d83b643281,1,26,N,A
24ad279c7177f3c,1,22,N,B
d8fbd6edd6126e6,2,31,N,A
8ea4a63c7532eaf,2,36,N,A
082e02744efd24e,2,28,N,A
3950b387728edbb,2,24,N,A
e1cd7003d064657,1,30,N,B
b9525afb08f7da0,2,53,N,B
78b3b380ea20eec,1,32,N,A
9135e85c7a88468,2,24,N,A
f932fc5455b3fca,1,38,N,A
37a40c562051baa,2,27,N,A
96f446d7e2c79e1,2,22,N,A
9c874344bea49c1,2,32,N,A
ee4809fea58a9ef,1,30,N,B
03ec115860d7cc6,1,21,N,A
7e39b8a59c50864,1,28,N,A
8d77d3370b38bc4,1,30,N,A
74d451a447403d0,1,41,N,A
1571a3368ddd748,2,26,N,A
ee8530af7d2295e,1,36,N,B
ad30418eec70546,2,35,N,A
639c262b1ddbd32,1,27,N,B
0c8e62fc42c2344,1,44,N,B
755282d2f291d5e,2,26,N,B
e0fe6a0e6120335,1,30,N,B
2c59484fe16a0dc,2,37,N,B
fd4b7b821d1236a,2,27,N,A
4ee837947e93fca,2,28,N,A
086b5382069e3fd,2,30,N,A
16f52be5d22366e,2,21,N,A
3e0f5664922099d,1,24,N,B
2a08b660a9000aa,1,37,N,A
80ebdd7ada28901,1,42,N,B
6a5e16e18742ef8,1,39,N,A
c0f7a1cd4ca8756,1,32,N,B
ee403640a61f259,2,27,N,A
c5a877ec404c335,2,28,N,B
ee1f72850e6dcce,2,26,N,B
ba8f96674fe414e,2,29,N,A
306e662000975b5,1,27,N,A
d080f82ff7e0013,2,33,N,B
100ecc1f60f99bd,1,39,N,A
753c5de597357ad,2,27,N,A
ffb0d5cacf0846e,2,28,N,A
59e1cf2ab3eab4b,1,35,N,A
d42a583b88fbda7,2,33,N,A
5300e4daf38caae,2,26,N,A
95bded543ab8558,2,30,N,A
f65126809ce8ce3,1,23,N,B
9c8c2c717063b17,2,25,N,A
61efd18e744557e,2,23,N,A
c33a0d352cd544f,1,26,N,A
3fda1d7f41c15eb,1,50,N,B
d4e5280ac97933c,2,25,N,B
1852c16eaf4bcce,1,28,N,A
9c38c3d3cc20010,1,21,N,A
92a45f3b1e33da3,2,30,N,A
5dd4d77b0e96e03,2,25,N,A
70dff2edd57742e,2,26,N,A
6029384bdd6fb69,2,21,N,A
04382de2f7c0012,2,54,N,B
3a9a081e2c7c2e5,1,36,N,A
35d00eb7e351c26,2,30,N,B
a95f4faee342b72,1,28,N,B
b89f770baff5ff6,1,39,N,A
d0f9e3a363af168,2,41,N,A
2f86533a905cd42,1,28,N,A
113b65d069d3cea,2,21,N,B
2481ceb1628757d,1,29,N,B
5197f5f09f27aed,2,38,N,A
9cc869db4580bc0,1,24,N,B
323ab3a98784f88,1,51,N,A
5b820690dbbcac1,1,22,N,B
829610ae9898fa9,1,25,N,B
f3933997d4e170e,2,29,N,A
9570d876e471b2a,1,28,N,B
ed89ca27f81b13c,1,23,N,B
78593a39a463ee6,2,34,N,A
c92b09584cc21a5,2,33,N,B
c42bc28ae3462bb,2,26,N,A
98c8309a771acec,2,39,N,A
9f5db3b07866872,2,36,N,A
460587a03d57255,2,27,N,B
c89ad4ae2ba0cf0,2,43,N,B
4411e40e7d0b408,1,44,N,A
b7be25b9502c764,2,25,N,A
9991945d8d06819,2,35,N,A
ebd02c7b8174379,1,24,N,B
e53034540d20dbe,2,24,N,A
0aa959d0c22e6e4,1,30,N,B
9c225b18dd08f70,1,22,N,B
703c160e500d8b7,2,52,N,A
d98d45696a9cbd7,2,24,N,B
924ac583acb7c5c,2,31,N,B
ddf4b46c0fee4ac,1,20,N,B
45c0b97c0ff6383,1,23,N,A
e2960581f0ebd89,2,30,N,A
544a55c3fc1e9ef,1,38,N,A
058ae42ad37f0fd,2,25,N,A
563f1e993d64fe9,2,30,N,A
12af57b0b31afd1,1,56,N,A
098af9627dd4620,1,23,N,A
dcb2395180c44e3,2,30,N,A
a25a1d07fc4a930,2,31,N,A
7dc579bfb11456f,2,29,N,A
8c52b60a28abc5b,1,27,N,A
fa504975d7f6658,2,39,N,A
3379d0c312ff16a,1,32,N,B
d0dc02d6a4e2bee,2,24,N,A
f89ae28ddbc02d0,1,36,N,A
2c2f7f1f16e6e62,1,30,N,A
234beb7824cabbc,1,26,N,A
a936857e9383cf8,1,34,N,A
81621650013cb63,2,39,N,B
c48ad662fce98ea,2,31,Y,B
153c575ab7b2e53,1,35,N,A
793e555bc5cadb5,2,28,N,A
6e461ca282a808c,1,22,N,A
f7c88ad37c3446b,2,26,N,A
b7d14be5a0dd157,1,29,N,A
a62d809b1e04ef1,2,29,N,B
d0f576ea44192d5,1,27,N,A
9b9d02082867a65,1,43,N,B
c020c8b0d7f557a,2,30,N,A
d483a3c7ebf01eb,1,20,N,A
9f9e716de9ff500,2,34,N,A
a5b60b8469adc00,1,32,N,A
9a2e2dfd9ce9010,1,26,N,B
20ac5e40caeae23,2,24,N,B
283134ae63a3886,2,24,N,B
90c86818b482533,1,28,N,A
ac29f12a6dc1093,1,33,N,B
448247c7d6d24bd,2,20,N,A
74fe0102efe59e2,1,35,N,A
74f94cfb8280b27,2,26,N,B
0f50afa7e437cd4,2,29,N,A
55fd241fe062346,2,29,N,A
4ffc630fc1106bc,1,31,N,A
e904c31b7485475,1,27,N,A
73854494f4ec97d,2,25,N,B
dd7c89ac5916e9a,1,38,N,A
427c1f4fe3132de,2,25,N,A
af861dd7be2af8f,2,43,N,A
01bf45e5ae022a4,1,23,N,A
5f6230e4365d009,2,29,N,A
621a73b7cd85580,2,23,N,A
32bd3bf307b6ed0,2,21,N,B
7eca84aa0a8f384,2,24,N,A
1020cc16fa6c06d,2,37,N,A
197ae85768a6675,1,23,N,A
8381dc15613fc55,2,21,N,A
06160f8dc14b08d,1,25,N,B
97b84cd73265a8a,1,35,N,A
620486a66694389,2,33,N,A
0d1d79b60552add,1,30,N,B
18b78f15e926469,1,35,N,B
b9d8e9cc4c9c9e4,2,36,N,A
89e406962420c17,1,37,N,B
d64ef6ed5380f1e,2,29,N,A
b35571cc45ea3e6,2,30,N,A
ec71cb677cb24a6,1,33,N,A
d01d3bfcc8a7f10,2,24,N,A
1372ff05de96326,1,22,N,B
19b16bc18a15dd6,1,21,N,B
473b50808444821,2,30,N,B
0421ce6a84be58b,2,27,N,A
b21838c706a9ab7,2,37,N,A
468a7df367d3c67,2,23,N,B
9410b6d485ffa83,2,30,N,A
737cba592fd2ded,2,28,N,A
b796ae63de5c667,1,20,N,B
b92eddedf385e6e,2,26,N,A
08f457683a24649,2,21,N,A
fcdaaf619ce4ec1,2,25,N,B
918a3dd2377a97d,2,48,N,A
d2c8f4325dff919,2,30,N,A
2f80d75495df983,1,26,N,A
7780347a7ecddd5,1,40,N,A
7596a3d0b21392b,1,20,N,B
b7357d5d0d5d9b6,1,31,N,B
841e59f5ed4c216,1,25,N,B
8cb3f05c4339c61,1,23,N,A
21981b33ebbce14,1,41,N,A
26d5415b2489d1a,1,33,N,B
0aa41b62bd0faf8,2,29,N,B
7f79743a75ac44d,2,23,N,A
ade39e97a25a233,2,28,N,A
eebd0211d1eda28,1,22,N,A
1405ebab08353f6,1,27,N,B
21e4d7ee3bbbad6,2,38,N,A
92a2f9b65fcef97,1,24,N,B
02ffeb49e1434ea,1,38,N,B
835490bad6705c9,1,26,N,B
75b455df55c99e5,1,23,N,B
8c5e138fa25d745,2,30,N,A
a25b2995da8ea15,1,22,N,B
caa492aaa06de71,1,29,N,A
a9812793464f4fa,2,21,N,B
0d6f2961c29fec5,2,23,N,B
2b01aa547aa6579,1,26,N,A
344a0bbb34a31bb,2,29,N,B
b289776da0c645e,2,23,N,A
